WP_009632395.1	K04751
WP_250121349.1	K03829
WP_250121351.1	K07496
WP_250121353.1	K07393
WP_250121354.1	K15777
WP_250121355.1	K15977
WP_250121361.1	K05577
WP_250121362.1	K05575
WP_250121366.1	K00632
WP_250121367.1	K07516
WP_250121368.1	K01897
WP_250121372.1	K07013
WP_250121375.1	K07013
WP_250121379.1	K02639
WP_250121381.1	K08884
WP_250121383.1	K21903
WP_250121387.1	K08972
WP_250121395.1	K07506
WP_250121396.1	K00344
WP_250121400.1	K00799
WP_250121401.1	K07393
WP_250121404.1	K00799
WP_250121405.1	K07006
WP_250121406.1	K07496
WP_250121407.1	K06153
WP_250121409.1	K02005
WP_250121413.1	K02004
WP_250121414.1	K02003
WP_250121419.1	K00117
WP_250121420.1	K09818
WP_250121421.1	K09820
WP_250121422.1	K09819
WP_250121425.1	K07107
WP_250121426.1	K09458
WP_250121435.1	K03928
WP_250121439.1	K07304
WP_250121440.1	K07259
WP_250121443.1	K03403
WP_250121449.1	K01996
WP_250121450.1	K02238
WP_250121451.1	K01878
WP_250121453.1	K02003
WP_250121454.1	K02004
WP_250121455.1	K01159
WP_250121457.1	K06925
WP_250121465.1	K13051
WP_250121467.1	K07489
WP_250121470.1	K07075
WP_250121476.1	K09933
WP_250121480.1	K01754
WP_250121481.1	K02292
WP_250121489.1	K03602
WP_250121490.1	K19159
WP_250121491.1	K19158
WP_250121492.1	K03601
WP_250121493.1	K03553
WP_250121496.1	K03722
WP_250121498.1	K04567
WP_250121502.1	K11520
WP_250121507.1	K06147
WP_250121512.1	K05946
WP_250121514.1	K02635
WP_250121519.1	K08641
WP_250121521.1	K08998
WP_250121522.1	K18678
WP_250121523.1	K21231
WP_250121528.1	K22044
WP_250121529.1	K01251
WP_250121532.1	K06147
WP_250121533.1	K01945
WP_250121534.1	K07769
WP_250121538.1	K01802
WP_250121539.1	K02314
WP_250121540.1	K02939
WP_250121542.1	K00788
WP_250121543.1	K03154
WP_250121545.1	K05515
WP_250121546.1	K02634
WP_250121547.1	K02636
WP_250121549.1	K03100
WP_250121550.1	K00684
WP_250121552.1	K02954
WP_250121553.1	K10773
WP_250121555.1	K01875
WP_250121557.1	K26743
WP_250121567.1	K08906
WP_250121570.1	K14415
WP_250121580.1	K06978
WP_250121584.1	K02433
WP_250121588.1	K00652
WP_250121590.1	K25156
WP_250121591.1	K25155
WP_250121596.1	K23997
WP_250121598.1	K00566
WP_250121599.1	K00958
WP_250121603.1	K07496
WP_250121604.1	K02003
WP_250121605.1	K02004
WP_250121606.1	K02005
WP_250121607.1	K03497
WP_250121614.1	K06160
WP_250121617.1	K07090
WP_250121628.1	K14189
WP_250121635.1	K09936
WP_250121638.1	K07498
WP_250121643.1	K03824
WP_250121646.1	K07506
WP_250121656.1	K03581
WP_250121660.1	K07480
WP_250121665.1	K07489
WP_250121669.1	K03665
WP_250121676.1	K00558
WP_250121679.1	K01972
WP_250121681.1	K02469
WP_250121682.1	K03820
WP_250121683.1	K07140
WP_250121684.1	K07480
WP_250121688.1	K04094
WP_250121691.1	K25180
WP_250121692.1	K25181
WP_250121693.1	K25182
WP_250121694.1	K25183
WP_250121696.1	K03797
WP_250121697.1	K02635
WP_250121698.1	K02637
WP_250121704.1	K20024
WP_250121705.1	K01933
WP_250121706.1	K03642
WP_250121707.1	K13799
WP_250121708.1	K04564
WP_250121710.1	K00937
WP_250121716.1	K00852
WP_250121717.1	K23139
WP_250121718.1	K23139
WP_250121720.1	K00425
WP_250121721.1	K00426
WP_250121722.1	K03365
WP_250121726.1	K09761
WP_250121727.1	K00392
WP_250121733.1	K25109
WP_250121734.1	K02014
WP_250121736.1	K13038
WP_250121738.1	K06999
WP_250121739.1	K00602
WP_250121741.1	K07058
WP_250121742.1	K00077
WP_250121743.1	K06883
WP_250121745.1	K00849
WP_250121747.1	K00965
WP_250121753.1	K22881
WP_250121754.1	K03821
WP_250121756.1	K00626
WP_250121757.1	K00023
WP_250121766.1	K18911
WP_250121772.1	K01704
WP_250121776.1	K07496
WP_250121781.1	K01462
WP_250121784.1	K03118
WP_250121785.1	K00773
WP_250121787.1	K02233
WP_250121788.1	K03695
WP_250121791.1	K04037
WP_250121793.1	K04038
WP_250121798.1	K10026
WP_250121800.1	K06442
WP_250121802.1	K06883
WP_250121820.1	K02519
WP_250121821.1	K07742
WP_250121822.1	K02600
WP_250121823.1	K09748
WP_250121825.1	K02033
WP_250121826.1	K02035
WP_250121827.1	K02045
WP_250121828.1	K10960
WP_250121829.1	K10697
WP_250121831.1	K07019
WP_250121833.1	K05566
WP_250121834.1	K07242
WP_250121835.1	K05571
WP_250121836.1	K05570
WP_250121837.1	K05569
WP_250121838.1	K05568
WP_250121839.1	K05567
WP_250121841.1	K03321
WP_250121842.1	K11953
WP_250121843.1	K11952
WP_250121844.1	K11951
WP_250121845.1	K11950
WP_250121849.1	K01007
WP_250121855.1	K02551
WP_250121858.1	K01854
WP_250121860.1	K11085
WP_250121861.1	K01147
WP_250121862.1	K02963
WP_250121863.1	K02913
WP_250121865.1	K03750
WP_250121867.1	K08884
WP_250121868.1	K01890
WP_250121869.1	K09780
WP_250121871.1	K06183
WP_250121873.1	K00705
WP_250121874.1	K03574
WP_250121875.1	K08980
WP_250121876.1	K02025
WP_250121877.1	K11175
WP_250121879.1	K01537
WP_250121880.1	K03629
WP_250121881.1	K07507
WP_250121884.1	K02485
WP_250121888.1	K11927
WP_250121895.1	K05520
WP_250121902.1	K02232
WP_250121904.1	K02026
WP_250121905.1	K14331
WP_250121906.1	K14330
WP_250121907.1	K01962
WP_250121909.1	K01817
WP_250121910.1	K02698
WP_250121913.1	K03800
WP_250121916.1	K01915
WP_250121917.1	K02097
WP_250121919.1	K09710
WP_250121921.1	K01424
WP_250121922.1	K06883
WP_250121929.1	K07052
WP_250121931.1	K00240
WP_250121935.1	K02722
WP_250121936.1	K00275
WP_250121943.1	K00930
WP_250121944.1	K00891
WP_250121947.1	K01687
WP_250121951.1	K03926
WP_250121955.1	K03474
WP_250121958.1	K09775
WP_250121959.1	K13789
WP_250121960.1	K01491
WP_250121964.1	K00826
WP_250121965.1	K03555
WP_250121967.1	K07447
WP_250121969.1	K07082
WP_250121970.1	K07015
WP_250121971.1	K00931
WP_250121975.1	K09971
WP_250121976.1	K09970
WP_250121977.1	K09969
WP_250121980.1	K00595
WP_250121981.1	K06042
WP_250121983.1	K02340
WP_250121985.1	K03187
WP_250121986.1	K03188
WP_250121987.1	K11957
WP_250121988.1	K11955
WP_250121991.1	K01879
WP_250121992.1	K01925
WP_250121994.1	K09792
WP_250122000.1	K06949
WP_250122002.1	K03686
WP_250122003.1	K04043
WP_250122004.1	K03687
WP_250122005.1	K02652
WP_250122006.1	K02669
WP_250122007.1	K02653
WP_250122009.1	K01012
WP_250122010.1	K00833
WP_250122013.1	K05337
WP_250122015.1	K02970
WP_250122028.1	K03500
WP_250122033.1	K05366
WP_250122034.1	K00950
WP_250122035.1	K01515
WP_250122036.1	K01669
WP_250122037.1	K22187
WP_250122042.1	K05946
WP_250122043.1	K16554
WP_250122045.1	K03328
WP_250122048.1	K12454
WP_250122054.1	K01515
WP_250122055.1	K01465
WP_250122056.1	K03100
WP_250122057.1	K05595
WP_250122058.1	K01465
WP_250122060.1	K07052
WP_250122062.1	K01533
WP_250122065.1	K00943
WP_250122066.1	K02341
WP_250122067.1	K01069
WP_250122070.1	K01256
WP_250122071.1	K03282
WP_250122074.1	K01725
WP_250122075.1	K01737
WP_250122076.1	K03686
WP_250122077.1	K01738
WP_250122080.1	K07059
WP_250122081.1	K07059
WP_250122084.1	K01974
WP_250122085.1	K07341
WP_250122087.1	K00886
WP_250122089.1	K03795
WP_250122090.1	K06006
WP_250122094.1	K10716
WP_250122100.1	K06959
WP_250122101.1	K01007
WP_250122109.1	K03113
WP_250122112.1	K05575
WP_250122114.1	K00872
WP_250122119.1	K06878
WP_250122121.1	K07005
WP_250122123.1	K02316
WP_250122125.1	K07460
WP_250122127.1	K07568
WP_250122131.1	K09012
WP_250122132.1	K09014
WP_250122133.1	K09013
WP_250122134.1	K09015
WP_250122135.1	K11717
WP_250122137.1	K05770
WP_250122138.1	K05770
WP_250122139.1	K05847
WP_250122140.1	K05846
WP_250122145.1	K02337
WP_250122149.1	K06889
WP_250122150.1	K02433
WP_250122159.1	K07052
WP_250122160.1	K06891
WP_250122165.1	K02011
WP_250122169.1	K01555
WP_250122171.1	K07492
WP_250122185.1	K01892
WP_250122188.1	K03090
WP_250122189.1	K02716
WP_250122191.1	K01255
WP_250122192.1	K13821
WP_250122199.1	K03752
WP_250122201.1	K03060
WP_250122205.1	K07496
WP_250122207.1	K02014
WP_250122208.1	K25109
WP_250122213.1	K06147
WP_250122214.1	K07486
WP_250122215.1	K01208
WP_250122226.1	K00784
WP_250122227.1	K06381
WP_250122228.1	K10255
WP_250122232.1	K11209
WP_250122233.1	K03671
WP_250122237.1	K01519
WP_250122239.1	K00941
WP_250122240.1	K09836
WP_250122242.1	K01997
WP_250122244.1	K25154
WP_250122245.1	K07393
WP_250122250.1	K03431
WP_250122253.1	K03530
WP_250122254.1	K02666
WP_250122255.1	K02664
WP_250122256.1	K02663
WP_250122257.1	K02662
WP_250122258.1	K17244
WP_250122260.1	K06980
WP_250122262.1	K01738
WP_250122264.1	K24158
WP_250122266.1	K03711
WP_250122274.1	K02970
WP_250122276.1	K14761
WP_250122278.1	K09803
WP_250122283.1	K11004
WP_250122284.1	K11003
WP_250122287.1	K06207
WP_250122288.1	K17892
WP_250122289.1	K09763
WP_250122290.1	K09774
WP_250122291.1	K06861
WP_250122292.1	K11720
WP_250122294.1	K01921
WP_250122295.1	K06168
WP_250122307.1	K06893
WP_250122310.1	K09834
WP_250122313.1	K00812
WP_250122315.1	K03799
WP_250122318.1	K01607
WP_250122320.1	K01876
WP_250122324.1	K03885
WP_250122325.1	K02710
WP_250122328.1	K01191
WP_250122329.1	K02715
WP_250122330.1	K02709
WP_250122331.1	K03116
WP_250122332.1	K01056
WP_250122333.1	K02970
WP_250122334.1	K03189
WP_250122335.1	K06872
WP_250122340.1	K09919
WP_250122343.1	K04063
WP_250122344.1	K03284
WP_250122345.1	K03685
WP_250122351.1	K07107
WP_250122359.1	K19155
WP_250122360.1	K07114
WP_250122361.1	K01358
WP_250122363.1	K03636
WP_250122365.1	K01733
WP_250122366.1	K03636
WP_250122369.1	K04035
WP_250122374.1	K03405
WP_250122383.1	K00344
WP_250122385.1	K06942
WP_250122389.1	K04043
WP_250122391.1	K00975
WP_250122393.1	K01814
WP_250122399.1	K00615
WP_250122400.1	K09458
WP_250122401.1	K02078
WP_250122402.1	K00241
WP_250122403.1	K02536
WP_250122409.1	K01625
WP_250122414.1	K03798
WP_250122415.1	K02619
WP_250122420.1	K03892
WP_250122421.1	K02040
WP_250122424.1	K03529
WP_250122426.1	K04083
WP_250122432.1	K03699
WP_250122433.1	K03723
WP_250122451.1	K06213
WP_250122461.1	K03701
WP_250122464.1	K02435
WP_250122465.1	K01153
WP_250122466.1	K19159
WP_250122467.1	K19158
WP_250122468.1	K03427
WP_250122470.1	K07065
WP_250122471.1	K07075
WP_250122473.1	K07066
WP_250122474.1	K01154
WP_250122476.1	K02230
WP_250122477.1	K11356
WP_250122478.1	K01788
WP_250122488.1	K07098
WP_250122501.1	K03551
WP_250122503.1	K06898
WP_250122506.1	K08226
WP_250122507.1	K24392
WP_250122511.1	K05356
WP_250122513.1	K01776
WP_250122514.1	K01448
WP_250122515.1	K26730
WP_250122516.1	K09807
WP_250122517.1	K03111
WP_250122518.1	K03569
WP_250122520.1	K03570
WP_250122522.1	K11752
WP_250122525.1	K20534
WP_250122526.1	K23036
WP_250122532.1	K00214
WP_250122537.1	K10206
WP_250122540.1	K04488
WP_250122542.1	K02012
WP_250122543.1	K04043
WP_250122544.1	K02293
WP_250122545.1	K02291
WP_250122546.1	K11954
WP_250122550.1	K00703
WP_250122551.1	K22303
WP_250122554.1	K01749
WP_250122557.1	K03707
WP_250122562.1	K05520
WP_250122564.1	K01576
WP_250122565.1	K06893
WP_250122571.1	K00700
WP_250122576.1	K00817
WP_250122577.1	K07000
WP_250122578.1	K07506
WP_250122581.1	K00383
WP_250122591.1	K07263
WP_250122594.1	K03630
WP_250122596.1	K03310
WP_250122597.1	K07124
WP_250122600.1	K00058
WP_250122601.1	K02687
WP_250122603.1	K00059
WP_250122604.1	K04077
WP_250122605.1	K02916
WP_250122606.1	K02887
WP_250122607.1	K02030
WP_250122609.1	K02723
WP_250122613.1	K07263
WP_250122615.1	K01265
WP_250122618.1	K00799
WP_250122623.1	K01624
WP_250122624.1	K01621
WP_250122633.1	K02004
WP_250122634.1	K02005
WP_250122637.1	K11085
WP_250122646.1	K03270
WP_250122647.1	K01627
WP_250122648.1	K00979
WP_250122650.1	K06041
WP_250122657.1	K01790
WP_250122663.1	K15736
WP_250122664.1	K00978
WP_250122670.1	K00066
WP_250122673.1	K16554
WP_250122674.1	K00860
WP_250122678.1	K18816
WP_250122684.1	K19784
WP_250122685.1	K14632
WP_250122688.1	K07506
WP_250122689.1	K03088
WP_250122698.1	K07506
WP_250122701.1	K07496
WP_250122702.1	K07491
WP_250122710.1	K18833
WP_250122712.1	K07010
WP_250122719.1	K03596
WP_250122721.1	K04079
WP_250122722.1	K02902
WP_250122729.1	K01929
WP_250122735.1	K01810
WP_250122739.1	K01466
WP_250122746.1	K03386
WP_250122750.1	K04773
WP_250122751.1	K06208
WP_250122752.1	K02294
WP_250122753.1	K00873
WP_250122755.1	K01011
WP_250122758.1	K03650
WP_250122762.1	K19294
WP_250122764.1	K00640
WP_250122765.1	K00640
WP_250122773.1	K16554
WP_250122775.1	K01710
WP_250122776.1	K00973
WP_250122777.1	K01790
WP_250122778.1	K07496
WP_250122780.1	K03526
WP_250122781.1	K03797
WP_250122783.1	K02355
WP_250122784.1	K03412
WP_250122785.1	K13924
WP_250122787.1	K03438
WP_250122788.1	K05579
WP_250122793.1	K02034
WP_250122796.1	K14742
WP_250122798.1	K00974
WP_250122800.1	K01113
WP_250122802.1	K09951
WP_250122803.1	K15342
WP_250122804.1	K07464
WP_250122805.1	K19091
WP_250122806.1	K19120
WP_250122807.1	K19121
WP_250122808.1	K19122
WP_250122814.1	K07012
WP_250122828.1	K00366
WP_250122831.1	K02575
WP_250122833.1	K07496
WP_250122838.1	K00688
WP_250122839.1	K07496
WP_250122841.1	K08994
WP_250122842.1	K22468
WP_250122843.1	K00367
WP_250122844.1	K02575
WP_250122845.1	K00366
WP_250122846.1	K15579
WP_250122847.1	K11952
WP_250122848.1	K15577
WP_250122849.1	K15576
WP_250122853.1	K01579
WP_250122854.1	K01507
WP_250122857.1	K07496
WP_250122858.1	K02017/K02018
WP_250122859.1	K02018
WP_250122860.1	K02020
WP_250122863.1	K01823
WP_250122864.1	K04773
WP_250122872.1	K03644
WP_250122874.1	K03086
WP_250122881.1	K03828
WP_250122883.1	K05581
WP_250122884.1	K05582
WP_250122885.1	K05574
WP_250122888.1	K02707
WP_250122890.1	K02713
WP_250122891.1	K02711
WP_250122892.1	K02696
WP_250122893.1	K00796
WP_250122894.1	K01803
WP_250122896.1	K27078
WP_250122897.1	K00962
WP_250122903.1	K03086
WP_250122904.1	K04066
WP_250122906.1	K03980
WP_250122910.1	K03637
WP_250122924.1	K03782
WP_250122925.1	K07486
WP_250122926.1	K02016
WP_250122927.1	K02014
WP_250122934.1	K26743
WP_250122948.1	K01940
WP_250122950.1	K04749
WP_250122951.1	K02990
WP_250122953.1	K23095
WP_250122962.1	K01546
WP_250122964.1	K21929
WP_250122965.1	K07100
WP_250122967.1	K00254
WP_250122976.1	K03412
WP_250122977.1	K13924
WP_250122980.1	K06153
WP_250122982.1	K02719
WP_250122983.1	K00278
WP_250122987.1	K06971
WP_250122988.1	K14441
WP_250122989.1	K05592
WP_250122991.1	K08226
WP_250122992.1	K01092
WP_250122996.1	K04040
WP_250122998.1	K09690
WP_250123000.1	K09691
WP_250123003.1	K12990
WP_250123010.1	K20534
WP_250123011.1	K00721
WP_250123015.1	K01790
WP_250123016.1	K00067
WP_250123017.1	K00973
WP_250123021.1	K03979
WP_250123024.1	K17836
WP_250123025.1	K02533
WP_250123027.1	K13051
WP_250123028.1	K04042
WP_250123029.1	K07814
WP_250123031.1	K01011
WP_250123033.1	K02005
WP_250123034.1	K02004
WP_250123035.1	K03087
WP_250123040.1	K04075
WP_250123043.1	K02657
WP_250123044.1	K02658
WP_250123045.1	K03408
WP_250123046.1	K02660
WP_250123053.1	K03550
WP_250123054.1	K07024
WP_250123055.1	K03281
WP_250123071.1	K06987
WP_250123072.1	K21071
WP_250123073.1	K03595
WP_250123074.1	K02040
WP_250123083.1	K00864
WP_250123089.1	K03572
WP_250123090.1	K02040
WP_250123091.1	K02037
WP_250123092.1	K02038
WP_250123093.1	K02036
WP_250123094.1	K03523
WP_250123095.1	K03101
WP_250123100.1	K00759
WP_250123101.1	K02033
WP_250123105.1	K02003
WP_250123106.1	K02004
WP_250123107.1	K02005
WP_250123109.1	K25172
WP_250123113.1	K11522
WP_250123114.1	K11523
WP_250123115.1	K11524
WP_250123116.1	K11525
WP_250123117.1	K11526
WP_250123119.1	K16554
WP_250123121.1	K02639
WP_250123123.1	K06181
WP_250123125.1	K08884
WP_250123127.1	K11755
WP_250123128.1	K01845
WP_250123130.1	K02469
WP_250123131.1	K03087
WP_250123132.1	K03711
WP_250123135.1	K07040
WP_250123136.1	K06346
WP_250123139.1	K03536
WP_250123140.1	K02914
WP_250123142.1	K00324
WP_250123143.1	K00324
WP_250123144.1	K00325
WP_250123145.1	K03070
WP_250123147.1	K11753
WP_250123148.1	K03787
WP_250123149.1	K01889
WP_250123150.1	K01990
WP_250123151.1	K01992
WP_250123152.1	K18233
WP_250123153.1	K03168
WP_250123154.1	K07496
WP_250123155.1	K00344
WP_250123167.1	K02016
WP_250123168.1	K25109
WP_250123169.1	K02014
WP_250123172.1	K09772
WP_250123176.1	K06223
WP_250123178.1	K02834
WP_250123179.1	K05349
WP_250123187.1	K01113
WP_250123190.1	K26730
WP_250123192.1	K09118
WP_250123194.1	K03428
WP_250123195.1	K01443
WP_250123196.1	K01588
WP_250123197.1	K03320
WP_250123199.1	K03527
WP_250123200.1	K01649
WP_250123203.1	K06996
WP_250123213.1	K03676
WP_250123214.1	K01920
WP_250123215.1	K03531
WP_250123216.1	K03589
WP_250123217.1	K01736
WP_250123221.1	K23139
WP_250123231.1	K07496
WP_250123233.1	K07496
WP_250123234.1	K01113
WP_250123235.1	K01113
WP_250123236.1	K01113
WP_250123238.1	K07480
WP_250123239.1	K07486
WP_250123243.1	K17838
WP_250123244.1	K18534
WP_250123251.1	K00655
WP_250123252.1	K00645
WP_250123253.1	K00648
WP_250123254.1	K03621
WP_250123257.1	K23976
WP_250123258.1	K00981
WP_250123260.1	K00573
WP_250123263.1	K10231
WP_250123264.1	K05979
WP_250123267.1	K01874
WP_250123270.1	K00262
WP_250123272.1	K00012
WP_250123273.1	K08678
WP_250123274.1	K26730
WP_250123275.1	K00974
WP_250123277.1	K02724
WP_250123279.1	K00147
WP_250123280.1	K23054
WP_250123284.1	K07456
WP_250123285.1	K00088
WP_250123286.1	K03671
WP_250123293.1	K14645
WP_250123303.1	K17686
WP_250123306.1	K02564
WP_250123307.1	K01992
WP_250123308.1	K01990
WP_250123309.1	K22935
WP_250123310.1	K02700
WP_250123314.1	K00799
WP_250123315.1	K02712
WP_250123316.1	K08309
WP_250123317.1	K21600
WP_250123319.1	K03043
WP_250123320.1	K03424
WP_250123321.1	K02968
WP_250123322.1	K00013
WP_250123326.1	K17245
WP_250123328.1	K09800
WP_250123330.1	K07106
WP_250123334.1	K02016
WP_250123335.1	K02014
WP_250123340.1	K07259
WP_250123344.1	K03517
WP_250123346.1	K03568
WP_250123350.1	K02703
WP_250123351.1	K11780
WP_250123357.1	K02022
WP_250123358.1	K06148
WP_250123361.1	K11004
WP_250123362.1	K11003
WP_250123367.1	K02022
WP_250123368.1	K06148
WP_250123373.1	K07263
WP_250123377.1	K01262
WP_250123380.1	K03090
WP_250123381.1	K06890
WP_250123383.1	K07042
WP_250123384.1	K00901
WP_250123385.1	K01658
WP_250123387.1	K01262
WP_250123388.1	K01679
WP_250123389.1	K03798
WP_250123390.1	K09122
WP_250123393.1	K01885
WP_250123395.1	K06976
WP_250123396.1	K02036
WP_250123397.1	K02038
WP_250123398.1	K02037
WP_250123399.1	K02040
WP_250123401.1	K02031/K02032
WP_250123403.1	K01139
WP_250123405.1	K08997
WP_250123407.1	K15918
WP_250123413.1	K08480
WP_250123414.1	K08481
WP_250123415.1	K08482
WP_250123417.1	K00514
WP_250123419.1	K13628
WP_250123433.1	K01426
WP_250123440.1	K01738
WP_250123442.1	K24158
WP_250123452.1	K08094
WP_250123453.1	K08093
WP_250123455.1	K18199
WP_250123456.1	K01897
WP_250123457.1	K00799
WP_250123460.1	K14393
WP_250123464.1	K03332
WP_250123471.1	K01575
WP_250123472.1	K00491
WP_250123473.1	K02575
WP_250123486.1	K18457
WP_250123487.1	K03453
WP_250123492.1	K07494
WP_250123493.1	K07499
WP_250123501.1	K16381
WP_250123503.1	K03496
WP_250123506.1	K02480
WP_250123507.1	K02479
WP_250123511.1	K00344
WP_250123513.1	K07357
WP_250123515.1	K04763
WP_250123526.1	K02005
WP_250123527.1	K02004
WP_250123528.1	K02003
WP_250123530.1	K13421
WP_250123532.1	K00789
WP_250123533.1	K06147
WP_250123535.1	K06147
WP_250123539.1	K25109
WP_250123540.1	K02014
WP_250123543.1	K25109
WP_250123544.1	K02014
WP_250123546.1	K01091
WP_250123547.1	K02945
WP_250123548.1	K07738
WP_250123549.1	K02718
WP_250123550.1	K02704
WP_250123557.1	K01872
WP_250123558.1	K07213
WP_250123559.1	K02520
WP_250123562.1	K01653
WP_250123571.1	K07494
WP_250123577.1	K00263
WP_250123583.1	K07051
WP_250123585.1	K04517
WP_250123587.1	K00799
WP_250123588.1	K01735
WP_250123596.1	K13503
WP_250123597.1	K01609
WP_250123598.1	K01695
WP_250123599.1	K01696
WP_250123600.1	K03856
WP_250123601.1	K00766
WP_250123609.1	K01791
WP_250123611.1	K02669
WP_250123612.1	K08481
WP_250123613.1	K00033
WP_250123615.1	K01870
WP_250123618.1	K01772
WP_250123642.1	K00790
WP_250123643.1	K03437
WP_250123646.1	K03801
WP_250123647.1	K11072
WP_250123648.1	K11069
WP_250123649.1	K11071
WP_250123653.1	K23393
WP_250123654.1	K07009
WP_250123655.1	K01113
WP_250123658.1	K00799
WP_250123662.1	K01990
WP_250123663.1	K05520
WP_250123666.1	K03546
WP_250123667.1	K00946
WP_250123668.1	K00150
WP_250123669.1	K00969
WP_250123670.1	K01924
WP_250123671.1	K00075
WP_250123672.1	K09747
WP_250123673.1	K25307
WP_250123675.1	K03664
WP_250123677.1	K18814
WP_250123680.1	K00031
WP_250123694.1	K11645
WP_250123699.1	K02045
WP_250123700.1	K01738
WP_250123702.1	K00390
WP_250123703.1	K00860
WP_250123709.1	K17285
WP_250123710.1	K02483
WP_250123712.1	K07390
WP_250123716.1	K11991
WP_250123717.1	K03676
WP_250123718.1	K11532
WP_250123719.1	K02492
WP_250123720.1	K03787
WP_250123722.1	K07496
WP_250123725.1	K02055
WP_250123728.1	K07079
WP_250123729.1	K08999
WP_250123730.1	K00793
WP_250123732.1	K03524
WP_250123733.1	K05810
WP_250123736.1	K07496
WP_250123745.1	K01005
WP_250123746.1	K00971
WP_250123749.1	K23994
WP_250123755.1	K03608
WP_250123756.1	K03609
WP_250123757.1	K03610
WP_250123763.1	K01778
WP_250123766.1	K03666
WP_250123767.1	K26735
WP_250123770.1	K03088
WP_250123777.1	K01602
WP_250123779.1	K01601
WP_250123780.1	K00606
WP_250123790.1	K07171
WP_250123792.1	K07746
WP_250123796.1	K05946
WP_250123797.1	K12454
WP_250123803.1	K16554
WP_250123816.1	K00991
WP_250123821.1	K00728
WP_250123822.1	K01007
WP_250123823.1	K00134
WP_250123827.1	K06998
WP_250123829.1	K15256
WP_250123830.1	K01649
WP_250123834.1	K19221
WP_250123837.1	K01696
WP_250123841.1	K03684
WP_250123844.1	K10804
WP_250123857.1	K03635
WP_250123858.1	K03702
WP_250123866.1	K01783
WP_250123870.1	K01005
WP_250123875.1	K01480
WP_250123876.1	K09903
WP_250123877.1	K02838
WP_250123878.1	K15257
WP_250123879.1	K01770
WP_250123880.1	K00554
WP_250123881.1	K13282
WP_250123882.1	K03802
WP_250123883.1	K03116
WP_250123884.1	K03404
WP_250123887.1	K15577
WP_250123888.1	K15576
WP_250123889.1	K15578
WP_250123892.1	K03744
WP_250123895.1	K13542
WP_250123896.1	K00859
WP_250123897.1	K02191
WP_250123900.1	K14606
WP_250123904.1	K12132
WP_250123905.1	K09001
WP_250123906.1	K07646
WP_250123907.1	K01548
WP_250123909.1	K01547
WP_250123913.1	K10027
WP_250123915.1	K02705
WP_250123916.1	K02705
WP_250123917.1	K03839
WP_250123921.1	K06206
WP_250123922.1	K07496
WP_250123923.1	K02510
WP_250123924.1	K00830
WP_250123927.1	K09157
WP_250123930.1	K07052
WP_250123933.1	K02343
WP_250123934.1	K19003
WP_250123937.1	K06873
WP_250123942.1	K21904
WP_250123944.1	K00548
WP_250123948.1	K01990
WP_250123950.1	K01950
WP_250123951.1	K04782
WP_250123953.1	K00969
