protein_id,GOs_eggnog,ko_eggnog,GO_process,GO_component,GO_function,gene,GOs_interpro
WP_250121184.1,-,-,"['GO:0006812 - monoatomic cation transport [Evidence IEA]', 'GO:0055085 - transmembrane transport [Evidence IEA]']",['GO:0016020 - membrane [Evidence IEA]'],,None,GO:0006812(InterPro)|GO:0015297(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)|GO:1902600(InterPro)
WP_250121185.1,-,ko:K02635,,['GO:0016020 - membrane [Evidence IEA]'],"['GO:0009055 - electron transfer activity [Evidence IEA]', 'GO:0016491 - oxidoreductase activity [Evidence IEA]']",None,-
WP_250121186.1,-,-,,,,None,-
WP_250121187.1,-,ko:K03394,,,,None,GO:0008168(InterPro)
WP_250121188.1,-,ko:K03832,,,,None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121189.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121190.1,-,ko:K01710,"['GO:0009243 - O antigen biosynthetic process [Evidence IEA]', 'GO:0019305 - dTDP-rhamnose biosynthetic process [Evidence IEA]']",,"['GO:0008460 - dTDP-glucose 4,6-dehydratase activity [Evidence IEA]']",rfbB,GO:0008460(PANTHER)
WP_250121191.1,-,ko:K11206,,,,None,-
WP_250121192.1,-,ko:K06219,,,,None,-
WP_250121193.1,-,ko:K11777,,,,None,-
WP_250121194.1,-,ko:K19032,,,,None,GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
WP_250121195.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016469,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0032991,GO:0034220,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098797,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600",ko:K02114,['GO:0015986 - proton motive force-driven ATP synthesis [Evidence IEA]'],"['GO:0000275 - mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [Evidence IEA]', 'GO:0045261 - proton-transporting ATP synthase complex, catalytic core F(1) [Evidence IEA]', 'GO:0045262 - plasma membrane proton-transporting ATP synthase complex, catalytic core F(1) [Evidence IEA]']","['GO:0046933 - proton-transporting ATP synthase activity, rotational mechanism [Evidence IEA]']",atpC,GO:0015986(InterPro)|GO:0045261(InterPro)|GO:0046933(InterPro)
WP_250121196.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0016020,GO:0016469,GO:0032991,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0071944,GO:0098796,GO:0098797",ko:K02112,['GO:0015986 - proton motive force-driven ATP synthesis [Evidence IEA]'],"['GO:0000275 - mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [Evidence IEA]', 'GO:0045261 - proton-transporting ATP synthase complex, catalytic core F(1) [Evidence IEA]', 'GO:0045262 - plasma membrane proton-transporting ATP synthase complex, catalytic core F(1) [Evidence IEA]']","['GO:0046933 - proton-transporting ATP synthase activity, rotational mechanism [Evidence IEA]']",atpD,-
WP_250121197.1,-,-,['GO:0043687 - post-translational protein modification [Evidence IEA]'],,['GO:0004197 - cysteine-type endopeptidase activity [Evidence IEA]'],crtA,-
WP_250121198.1,-,-,,,,None,-
WP_250121199.1,-,ko:K10716,,,,None,-
WP_250121202.1,-,ko:K02654,,,,None,-
WP_250121205.1,-,ko:K02720,,"['GO:0009523 - photosystem II [Evidence IEA]', 'GO:0009538 - photosystem I reaction center [Evidence IEA]', 'GO:0009654 - photosystem II oxygen evolving complex [Evidence IEA]']",['GO:0010242 - oxygen evolving activity [Evidence IEA]'],psbV,GO:0009055(InterPro)|GO:0020037(InterPro)
WP_250121206.1,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",ko:K02720,['GO:0015979 - photosynthesis [Evidence IEA]'],"['GO:0009523 - photosystem II [Evidence IEA]', 'GO:0009654 - photosystem II oxygen evolving complex [Evidence IEA]']",['GO:0010242 - oxygen evolving activity [Evidence IEA]'],psbV2,-
WP_250121207.1,-,ko:K02638,['GO:0015979 - photosynthesis [Evidence IEA]'],,"['GO:0005507 - copper ion binding [Evidence IEA]', 'GO:0009055 - electron transfer activity [Evidence IEA]']",petE,-
WP_250121208.1,-,ko:K08906,,,"['GO:0009055 - electron transfer activity [Evidence IEA]', 'GO:0020037 - heme binding [Evidence IEA]']",None,GO:0005506(InterPro)|GO:0009055(InterPro)
WP_250121209.1,-,-,,,,None,-
WP_250121210.1,-,ko:K00925,,,,None,GO:0016301(InterPro)|GO:0016310(InterPro)|GO:0016774(InterPro)
WP_250121211.1,-,ko:K19591,['GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]'],,['GO:0003677 - DNA binding [Evidence IEA]'],None,GO:0003700(InterPro)
WP_250121212.1,-,-,,,,None,GO:0016491(InterPro)
WP_250121213.1,-,ko:K00219,,,,None,-
WP_250121214.1,-,-,,,,None,GO:0016491(InterPro)
WP_250121215.1,"GO:0003674,GO:0003824,GO:0004350,GO:0008150,GO:0008152,GO:0016491,GO:0016620,GO:0016903,GO:0055114",ko:K00147,['GO:0006561 - proline biosynthetic process [Evidence IEA]'],,"['GO:0004350 - glutamate-5-semialdehyde dehydrogenase activity [Evidence IEA]', 'GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [Evidence IEA]']",None,GO:0016491(InterPro)
WP_250121216.1,-,-,,,,None,-
WP_250121217.1,-,-,,,,None,-
WP_250121218.1,-,ko:K07478,,,,None,-
WP_250121219.1,"GO:0000050,GO:0003674,GO:0003824,GO:0004585,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0016743,GO:0019627,GO:0019752,GO:0034641,GO:0042450,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",ko:K00611,['GO:0042450 - arginine biosynthetic process via ornithine [Evidence IEA]'],,['GO:0004585 - ornithine carbamoyltransferase activity [Evidence IEA]'],argF,GO:0006520(InterPro)|GO:0016597(InterPro)|GO:0016743(InterPro)
WP_250121220.1,"GO:0000976,GO:0001067,GO:0001130,GO:0001216,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032991,GO:0032993,GO:0043565,GO:0044212,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2001141",ko:K01356,"['GO:0006282 - regulation of DNA repair [Evidence IEA]', 'GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]']",,['GO:0004252 - serine-type endopeptidase activity [Evidence IEA]'],lexA,-
WP_250121221.1,-,-,,,,None,GO:0003677(InterPro)|GO:0005524(InterPro)|GO:0016787(InterPro)
WP_250121223.1,-,ko:K19171,,,,None,-
WP_250121224.1,-,-,,,,None,-
WP_250121225.1,-,-,,,,None,-
WP_250121226.1,-,-,,,,None,-
WP_250121227.1,-,ko:K01928,"['GO:0008360 - regulation of cell shape [Evidence IEA]', 'GO:0009058 - biosynthetic process [Evidence IEA]', 'GO:0051301 - cell division [Evidence IEA]']",,"['GO:0005524 - ATP binding [Evidence IEA]', 'GO:0016874 - ligase activity [Evidence IEA]']",None,GO:0005524(InterPro)|GO:0005737(InterPro)|GO:0008360(InterPro)|GO:0016881(InterPro)|GO:0051301(InterPro)
WP_250121228.1,-,-,,,,None,-
WP_250121230.1,-,ko:K00390,"['GO:0019379 - sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [Evidence IEA]']",,['GO:0004604 - phosphoadenylyl-sulfate reductase (thioredoxin) activity [Evidence IEA]'],cysH,GO:0004604(InterPro)|GO:0019379(InterPro)
WP_250121231.1,-,ko:K03547,"['GO:0006260 - DNA replication [Evidence IEA]', 'GO:0006310 - DNA recombination [Evidence IEA]']",,['GO:0004527 - exonuclease activity [Evidence IEA]'],sbcD,-
WP_250121233.1,"GO:0003674,GO:0003824,GO:0004611,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008964,GO:0016829,GO:0016830,GO:0016831,GO:0044424,GO:0044444,GO:0044464",ko:K01595,"['GO:0006099 - tricarboxylic acid cycle [Evidence IEA]', 'GO:0015977 - carbon fixation [Evidence IEA]']",,['GO:0008964 - phosphoenolpyruvate carboxylase activity [Evidence IEA]'],ppc,-
WP_250121235.1,-,ko:K02703,,"['GO:0009538 - photosystem I reaction center [Evidence IEA]', 'GO:0009539 - photosystem II reaction center [Evidence IEA]']",['GO:0009055 - electron transfer activity [Evidence IEA]'],psbA,GO:0009772(InterPro)|GO:0019684(InterPro)|GO:0045156(InterPro)
WP_250121236.1,-,-,,,,None,GO:0005737(PANTHER)|GO:0019172(PANTHER)|GO:0019243(PANTHER)
WP_250121237.1,-,ko:K16137,,,,None,-
WP_250121238.1,-,ko:K00027,,,['GO:0051287 - NAD binding [Evidence IEA]'],None,-
WP_250121239.1,-,-,,,,None,-
WP_250121240.1,-,-,,,,None,-
WP_250121241.1,-,ko:K07098,,,,None,-
WP_250121242.1,-,-,,,['GO:0016491 - oxidoreductase activity [Evidence IEA]'],None,-
WP_250121243.1,-,-,,,,None,-
WP_250121244.1,-,-,,,,None,-
WP_250121246.1,"GO:0000154,GO:0000179,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016433,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360",ko:K02528,,,"['GO:0000179 - rRNA (adenine-N6,N6-)-dimethyltransferase activity [Evidence IEA]']",rsmA,GO:0000154(InterPro)|GO:0000179(InterPro)
WP_250121247.1,"GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0044237,GO:0050515",ko:K00919,['GO:0016114 - terpenoid biosynthetic process [Evidence IEA]'],,"[""GO:0050515 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [Evidence IEA]""]",ispE,GO:0016114(InterPro)|GO:0050515(InterPro)
WP_250121248.1,-,-,,,,None,GO:0009535(PANTHER)
WP_250121249.1,-,ko:K06923,,,,None,-
WP_250121250.1,-,ko:K00954,['GO:0015937 - coenzyme A biosynthetic process [Evidence IEA]'],,['GO:0004595 - pantetheine-phosphate adenylyltransferase activity [Evidence IEA]'],coaD,GO:0003824(InterPro)|GO:0009058(InterPro)
WP_250121251.1,-,-,,,,None,-
WP_250121252.1,-,-,,,,None,-
WP_250121253.1,-,ko:K16137,,,,None,GO:0003677(InterPro)
WP_250121256.1,-,-,,,,None,-
WP_250121257.1,-,-,,,,None,-
WP_250121259.1,-,-,['GO:0033212 - iron import into cell [Evidence IEA]'],"['GO:0016020 - membrane [Evidence IEA]', 'GO:0046930 - pore complex [Evidence IEA]']",['GO:0015093 - ferrous iron transmembrane transporter activity [Evidence IEA]'],None,-
WP_250121260.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",-,,,,None,-
WP_250121261.1,-,ko:K07093,,,,None,-
WP_250121262.1,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0009892,GO:0010563,GO:0010966,GO:0019220,GO:0019222,GO:0031323,GO:0031324,GO:0032879,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0042802,GO:0042803,GO:0043269,GO:0043271,GO:0044070,GO:0044424,GO:0044464,GO:0045936,GO:0046983,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051049,GO:0051051,GO:0051174,GO:0065007,GO:1903792,GO:1903795,GO:1903796,GO:1903959,GO:1903960,GO:2000185,GO:2000186",ko:K02039,['GO:0051049 - regulation of transport [Evidence IEA]'],,['GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]'],phoU,GO:0030643(InterPro)|GO:0045936(InterPro)
WP_250121263.1,-,ko:K07636,,,,None,-
WP_250121264.1,-,ko:K07657,,,,None,-
WP_250121265.1,-,-,,,,None,GO:0000270(PANTHER)|GO:0005886(PANTHER)|GO:0043164(PANTHER)
WP_250121266.1,-,-,,,,None,-
WP_250121267.1,-,-,['GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]'],,"['GO:0005524 - ATP binding [Evidence IEA]', 'GO:0008134 - transcription factor binding [Evidence IEA]']",None,-
WP_250121268.1,-,-,,,,None,-
WP_250121269.1,-,-,,,,None,-
WP_250121270.1,-,ko:K01000,['GO:0009252 - peptidoglycan biosynthetic process [Evidence IEA]'],,['GO:0008963 - phospho-N-acetylmuramoyl-pentapeptide-transferase activity [Evidence IEA]'],mraY,GO:0008963(InterPro)|GO:0016020(InterPro)
WP_250121271.1,-,"ko:K03638,ko:K03831",,,,None,-
WP_250121272.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797",ko:K08903,,"['GO:0009523 - photosystem II [Evidence IEA]', 'GO:0009538 - photosystem I reaction center [Evidence IEA]']",['GO:0003674 - molecular_function [Evidence IEA]'],psb28,GO:0009523(InterPro)|GO:0009535(PANTHER)|GO:0009654(InterPro)|GO:0015979(InterPro)|GO:0016020(InterPro)
WP_250121273.1,-,-,,,,None,-
WP_250121274.1,-,-,,,,None,-
WP_250121275.1,-,ko:K07560,['GO:0008152 - metabolic process [Evidence IEA]'],,['GO:0004045 - aminoacyl-tRNA hydrolase activity [Evidence IEA]'],dtd,GO:0002161(InterPro)|GO:0005737(InterPro)|GO:0005737(PANTHER)|GO:0006399(PANTHER)|GO:0051499(InterPro)|GO:0051500(PANTHER)
WP_250121276.1,-,-,,,,None,-
WP_250121277.1,-,-,,,,None,-
WP_250121278.1,"GO:0000166,GO:0003674,GO:0003824,GO:0004812,GO:0004817,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006423,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",ko:K01883,['GO:0006423 - cysteinyl-tRNA aminoacylation [Evidence IEA]'],['GO:0005737 - cytoplasm [Evidence IEA]'],['GO:0004817 - cysteine-tRNA ligase activity [Evidence IEA]'],cysS,GO:0004817(InterPro)|GO:0005524(InterPro)|GO:0006423(InterPro)
WP_250121280.1,-,ko:K07506,,,,None,-
WP_250121281.1,"GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016740,GO:0016765,GO:0044237,GO:0044249,GO:0044689,GO:0051186,GO:0051188",ko:K11781,,,,cofH,-
WP_250121282.1,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0015930,GO:0016053,GO:0016491,GO:0016638,GO:0019676,GO:0019740,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",ko:K00284,['GO:0006537 - glutamate biosynthetic process [Evidence IEA]'],,"['GO:0015930 - glutamate synthase activity [Evidence IEA]', 'GO:0016638 - oxidoreductase activity, acting on the CH-NH2 group of donors [Evidence IEA]']",None,-
WP_250121283.1,-,-,,,,None,-
WP_250121284.1,-,ko:K01809,,,,None,GO:0004475(PANTHER)|GO:0009298(PANTHER)
WP_250121285.1,"GO:0003674,GO:0005488,GO:0006790,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016226,GO:0022607,GO:0031163,GO:0044085,GO:0044237,GO:0048037,GO:0051186,GO:0051536,GO:0051537,GO:0051540,GO:0071840",ko:K13628,,,,None,GO:0005506(PANTHER)|GO:0016226(PANTHER)|GO:0051537(PANTHER)|GO:0051539(PANTHER)|GO:0106035(PANTHER)
WP_250121286.1,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",ko:K02950,['GO:0006412 - translation [Evidence IEA]'],"['GO:0000314 - organellar small ribosomal subunit [Evidence IEA]', 'GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]']",['GO:0003735 - structural constituent of ribosome [Evidence IEA]'],rpsL,GO:0003735(InterPro)|GO:0006412(InterPro)|GO:0015935(InterPro)
WP_250121287.1,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",ko:K02992,['GO:0006412 - translation [Evidence IEA]'],"['GO:0000314 - organellar small ribosomal subunit [Evidence IEA]', 'GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]']",['GO:0003735 - structural constituent of ribosome [Evidence IEA]'],rpsG,-
WP_250121288.1,-,ko:K02355,['GO:0006414 - translational elongation [Evidence IEA]'],,['GO:0003746 - translation elongation factor activity [Evidence IEA]'],fusA,-
WP_250121289.1,-,ko:K02358,['GO:0006414 - translational elongation [Evidence IEA]'],,['GO:0003746 - translation elongation factor activity [Evidence IEA]'],tuf,-
