#Chroococcidiopsis_sp._SAG_2025_(cyanobacteria)
WP_006196724.1	K02518
WP_039716820.1	K02884
WP_039716863.1	K01507
WP_039716885.1	
WP_039716967.1	K03574,ko:K03575
WP_039716981.1	
WP_039717019.1	
WP_039717053.1	
WP_039717169.1	
WP_039717198.1	
WP_039717277.1	K03630
WP_039717719.1	K04751
WP_039717796.1	
WP_039718890.1	K03496
WP_039719363.1	
WP_039719366.1	
WP_039719372.1	K21498
WP_039719373.1	K07334
WP_041462305.1	K02658
WP_041462378.1	
WP_041462633.1	K02715
WP_041463362.1	
WP_041463533.1	K09903
WP_052289143.1	
WP_052289144.1	
WP_052289145.1	
WP_052289146.1	
WP_052289701.1	K02836
WP_063777327.1	K02600
WP_071925448.1	K21904
WP_106166053.1	
WP_106166095.1	K04641
WP_106166097.1	K11521
WP_106166111.1	K06041
WP_106166563.1	
WP_106166686.1	
WP_106166946.1	
WP_106167036.1	
WP_106167812.1	K03469
WP_106168179.1	K04565
WP_106168568.1	K02377
WP_106168778.1	
WP_106168905.1	
WP_106169644.1	
WP_106170034.1	K07506
WP_106170039.1	
WP_106170801.1	K02095
WP_106170859.1	K02503
WP_106171222.1	
WP_106171513.1	K10697
WP_106216237.1	
WP_106216266.1	
WP_106216269.1	K14393
WP_106216270.1	
WP_106216273.1	
WP_106216275.1	
WP_106216276.1	
WP_106216285.1	
WP_106216286.1	K11434
WP_106217028.1	K07006
WP_106217029.1	
WP_106217030.1	K07496
WP_106217031.1	K01575
WP_106217032.1	
WP_106217037.1	K01434
WP_106217039.1	
WP_106217042.1	K00486,ko:K20090
WP_106217043.1	
WP_106217044.1	
WP_106217045.1	K01206
WP_106217048.1	
WP_106217049.1	
WP_106217050.1	K00274,ko:K21639
WP_106217051.1	
WP_106217052.1	K03453
WP_106217053.1	
WP_106217054.1	
WP_106217056.1	
WP_106217133.1	
WP_106217140.1	K17893
WP_106218380.1	K05606
WP_106218468.1	K00809
WP_106218471.1	
WP_106218573.1	
WP_106218917.1	
WP_106218980.1	K03923,ko:K11748
WP_106219016.1	K07065
WP_106544032.1	
WP_106544221.1	K02690
WP_106544304.1	
WP_106544328.1	
WP_106544339.1	
WP_106544777.1	
WP_106544800.1	
WP_106545150.1	
WP_106545156.1	K02643
WP_106545708.1	K05770
WP_106545888.1	K01881
WP_106546173.1	K02639
WP_106546210.1	
WP_106546877.1	
WP_106547036.1	K04757,ko:K08282
WP_106547358.1	
WP_106547559.1	
WP_106547809.1	
WP_106548121.1	
WP_106548190.1	
WP_106548311.1	
WP_127024294.1	
WP_127025366.1	
WP_132866463.1	K02700
WP_132867019.1	
WP_132867535.1	
WP_146139731.1	
WP_146139733.1	
WP_146139734.1	
WP_146139747.1	
WP_158631824.1	
WP_165587649.1	
WP_165587686.1	
WP_165587779.1	
WP_181245280.1	
WP_181245358.1	
WP_181245368.1	
WP_181245383.1	
WP_181245476.1	
WP_192153397.1	
WP_192153439.1	K11521
WP_192153450.1	
WP_192153512.1	K02968
WP_192153647.1	K01601
WP_192153648.1	
WP_192153699.1	K02437
WP_192153925.1	K02093
WP_192153941.1	K02709
WP_192154059.1	K04651
WP_192154385.1	
WP_192155013.1	
WP_192155157.1	
WP_192155366.1	
WP_192158008.1	K06197
WP_192159074.1	K02095
WP_192159836.1	
WP_192160303.1	
WP_192160331.1	
WP_192160660.1	
WP_192160805.1	
WP_192160845.1	
WP_192160940.1	
WP_192160988.1	
WP_192161632.1	K03499
WP_199197173.1	K02291
WP_199197210.1	
WP_199197277.1	
WP_199197287.1	K05580
WP_199197465.1	
WP_199197587.1	
WP_199316443.1	K10778
WP_199316706.1	
WP_199316749.1	
WP_199316776.1	
WP_199316908.1	
WP_199317148.1	
WP_201278128.1	K00858
WP_201278346.1	
WP_233222636.1	
WP_233222872.1	K01358
WP_236147197.1	
WP_250013187.1	K01784
WP_250014050.1	K03593
WP_250015739.1	K02053
WP_250017140.1	K06187
WP_250017188.1	K02996
WP_250017768.1	K09803
WP_255409981.1	K01495
WP_277871333.1	K02276
WP_286194039.1	
WP_304529357.1	K01358
WP_309476435.1	K00948
WP_309476507.1	
WP_317104571.1	K02313
WP_317104572.1	
WP_317104573.1	
WP_317104574.1	K01470
WP_317104575.1	K01625
WP_317104576.1	
WP_317104578.1	
WP_317104579.1	
WP_317104580.1	K00958
WP_317104581.1	
WP_317104582.1	
WP_317104583.1	
WP_317104584.1	K00575
WP_317104585.1	K07090
WP_317104586.1	K02657
WP_317104587.1	K03408
WP_317104588.1	K03407
WP_317104589.1	K03407
WP_317104590.1	
WP_317104591.1	K03412
WP_317104592.1	K03412
WP_317104593.1	
WP_317104594.1	K03412
WP_317104595.1	
WP_317104596.1	
WP_317104597.1	
WP_317104598.1	
WP_317104599.1	
WP_317104600.1	
WP_317104601.1	
WP_317104602.1	
WP_317104603.1	K01990
WP_317104604.1	K04096
WP_317104605.1	
WP_317104606.1	
WP_317104607.1	K07213
WP_317104609.1	K01872
WP_317104610.1	K04759
WP_317104611.1	K04758
WP_317104612.1	K03802
WP_317104613.1	
WP_317104614.1	
WP_317104615.1	
WP_317104616.1	K00101,ko:K16422
WP_317104617.1	K04782
WP_317104618.1	
WP_317104619.1	K00969
WP_317104620.1	K00763
WP_317104622.1	K00855
WP_317104623.1	K03587
WP_317104624.1	
WP_317104626.1	
WP_317104627.1	
WP_317104628.1	
WP_317104629.1	K07025
WP_317104630.1	
WP_317104631.1	K05577
WP_317104632.1	K05575
WP_317104633.1	
WP_317104634.1	
WP_317104635.1	
WP_317104636.1	
WP_317104637.1	
WP_317104638.1	
WP_317104639.1	
WP_317104640.1	
WP_317104641.1	K03596
WP_317104642.1	K00566
WP_317104643.1	K06207
WP_317104644.1	
WP_317104645.1	
WP_317104646.1	K07171
WP_317104647.1	K00951
WP_317104648.1	K10112
WP_317104649.1	K03826
WP_317104650.1	K18890
WP_317104651.1	
WP_317104652.1	
WP_317104653.1	
WP_317104654.1	
WP_317104655.1	
WP_317104656.1	
WP_317104657.1	
WP_317104658.1	
WP_317104659.1	K04771
WP_317104660.1	
WP_317104661.1	
WP_317104662.1	
WP_317104663.1	
WP_317104664.1	K01551
WP_317104665.1	K02338
WP_317104666.1	K00826
WP_317104667.1	K14606
WP_317104668.1	K00633
WP_317104669.1	K08679
WP_317104671.1	
WP_317104672.1	
WP_317104673.1	
WP_317104674.1	
WP_317104675.1	
WP_317104676.1	K06147
WP_317104677.1	K22305
WP_317104678.1	K16703
WP_317104679.1	K16703
WP_317104680.1	
WP_317104681.1	
WP_317104682.1	K00854
WP_317104683.1	
WP_317104684.1	
WP_317104685.1	
WP_317104686.1	K00799,ko:K11209
WP_317104687.1	K10255
WP_317104688.1	K02031,ko:K02032
WP_317104690.1	K00116
WP_317104691.1	K02487,ko:K06596
WP_317104692.1	K02487,ko:K06596
WP_317104693.1	K02660
WP_317104694.1	K02660
WP_317104695.1	K02660
WP_317104696.1	K02659
WP_317104697.1	K02657
WP_317104698.1	
WP_317104699.1	K04075
WP_317104700.1	
WP_317104701.1	
WP_317104702.1	K02036
WP_317104703.1	K02038
WP_317104704.1	K02037
WP_317104705.1	K02040
WP_317104706.1	K03523
WP_317104707.1	K03101
WP_317104708.1	
WP_317104710.1	
WP_317104711.1	
WP_317104712.1	
WP_317104713.1	
WP_317104714.1	
WP_317104717.1	K02005
WP_317104718.1	K02004
WP_317104720.1	K02005
WP_317104721.1	K02004
WP_317104722.1	K02003
WP_317104723.1	
WP_317104724.1	
WP_317104725.1	
WP_317104726.1	
WP_317104727.1	K03328
WP_317104728.1	
WP_317104729.1	
WP_317104730.1	K16703
WP_317104731.1	K00721
WP_317104732.1	K04487
WP_317104733.1	K00558
WP_317104734.1	K01619
WP_317104735.1	K03584
WP_317104736.1	
WP_317104738.1	
WP_317104739.1	K15633
WP_317104740.1	K06158
WP_317104741.1	
WP_317104742.1	
WP_317104743.1	K07171
WP_317104744.1	K07448
WP_317104745.1	K02835
WP_317104746.1	K06173
WP_317104747.1	K03040
WP_317104748.1	K02876
WP_317104749.1	K02994
WP_317104750.1	K02895
WP_317104751.1	K02982
WP_317104752.1	K02886
WP_317104753.1	K02926
WP_317104754.1	K02906
WP_317104756.1	K05585
WP_317104757.1	
WP_317104758.1	
WP_317104759.1	
WP_317104760.1	
WP_317104761.1	
WP_317104762.1	
WP_317104763.1	K06178,ko:K06182,ko:K06183
WP_317104764.1	
WP_317104765.1	K00981
WP_317104766.1	K00595,ko:K02191
WP_317104767.1	
WP_317104768.1	K10716
WP_317104769.1	K00821
WP_317104770.1	K01414
WP_317104771.1	K03408
WP_317104772.1	K11526
WP_317104773.1	K11525
WP_317104774.1	K11525
WP_317104775.1	K11525
WP_317104776.1	K11525
WP_317104777.1	K11525
WP_317104778.1	K11524
WP_317104779.1	K11522
WP_317104780.1	K07480
WP_317104781.1	K11522
WP_317104782.1	K00978
WP_317104783.1	K15736
WP_317104784.1	
WP_317104785.1	K00067,ko:K01790
WP_317104786.1	K00973
WP_317104787.1	
WP_317104788.1	K19180
WP_317104789.1	
WP_317104790.1	
WP_317104791.1	
WP_317104792.1	
WP_317104793.1	
WP_317104794.1	
WP_317104795.1	
WP_317104796.1	
WP_317104797.1	
WP_317104799.1	
WP_317104800.1	K01176
WP_317104801.1	K01176
WP_317104802.1	K01879
WP_317104803.1	K04039
WP_317104805.1	
WP_317104806.1	
WP_317104807.1	K07243
WP_317104808.1	
WP_317104809.1	
WP_317104810.1	
WP_317104811.1	K00989
WP_317104812.1	K00798
WP_317104813.1	K13924
WP_317104814.1	K00057
WP_317104816.1	K03087
WP_317104817.1	K03711
WP_317104818.1	
WP_317104819.1	
WP_317104821.1	K07040
WP_317104822.1	K06346
WP_317104823.1	K03217
WP_317104824.1	K03536
WP_317104825.1	K00324
WP_317104826.1	K00324
WP_317104827.1	K00325
WP_317104828.1	
WP_317104829.1	
WP_317104830.1	
WP_317104831.1	
WP_317104832.1	K00020,ko:K00042
WP_317104833.1	
WP_317104834.1	
WP_317104835.1	K11356
WP_317104836.1	K02230
WP_317104837.1	
WP_317104838.1	K11072
WP_317104839.1	K11072
WP_317104840.1	K02469
WP_317104841.1	K02469
WP_317104842.1	K01845
WP_317104843.1	K11755
WP_317104844.1	K07010
WP_317104845.1	K01893
WP_317104846.1	
WP_317104847.1	
WP_317104848.1	K03215
WP_317104850.1	
WP_317104851.1	K03182
WP_317104852.1	K07341
WP_317104853.1	
WP_317104854.1	
WP_317104855.1	K06168
WP_317104856.1	
WP_317104858.1	
WP_317104859.1	
WP_317104860.1	K00344
WP_317104861.1	K03500
WP_317104862.1	
WP_317104863.1	
WP_317104864.1	K09833
WP_317104865.1	K05928
WP_317104866.1	K03498
WP_317104867.1	
WP_317104868.1	K03644
WP_317104869.1	
WP_317104870.1	K00791
WP_317104871.1	
WP_317104872.1	
WP_317104873.1	
WP_317104874.1	
WP_317104875.1	K07100
WP_317104876.1	
WP_317104877.1	
WP_317104878.1	
WP_317104879.1	
WP_317104880.1	
WP_317104881.1	
WP_317104882.1	
WP_317104883.1	K01737
WP_317104884.1	K01470
WP_317104885.1	
WP_317104886.1	
WP_317104887.1	
WP_317104888.1	
WP_317104889.1	
WP_317104890.1	
WP_317104891.1	
WP_317104892.1	
WP_317104893.1	K00567,ko:K10778
WP_317104894.1	
WP_317104895.1	K01008
WP_317104896.1	K04077
WP_317104897.1	K00059
WP_317104898.1	
WP_317104900.1	K01433
WP_317104902.1	
WP_317104903.1	
WP_317104904.1	
WP_317104905.1	
WP_317104907.1	
WP_317104908.1	
WP_317104909.1	
WP_317104910.1	K01256
WP_317104912.1	
WP_317104913.1	K13541
WP_317104914.1	
WP_317104915.1	K21600
WP_317104916.1	
WP_317104917.1	K03046
WP_317104919.1	K03424
WP_317104920.1	K00013
WP_317104921.1	
WP_317104922.1	K03177
WP_317104923.1	K02720
WP_317104924.1	K02720
WP_317104925.1	
WP_317104926.1	K01963
WP_317104927.1	K02654
WP_317104928.1	
WP_317104929.1	K00052
WP_317104930.1	K01990
WP_317104931.1	
WP_317104932.1	
WP_317104933.1	
WP_317104934.1	K03551
WP_317104935.1	
WP_317104936.1	K02557,ko:K03286
WP_317104937.1	K06883
WP_317104938.1	K01768
WP_317104939.1	
WP_317104941.1	
WP_317104942.1	
WP_317104944.1	K02837
WP_317104945.1	
WP_317104946.1	
WP_317104947.1	K01698
WP_317104948.1	
WP_317104949.1	K02077
WP_317104950.1	K02074
WP_317104951.1	
WP_317104952.1	
WP_317104953.1	
WP_317104954.1	K00925
WP_317104955.1	
WP_317104956.1	K02226
WP_317104957.1	K00134
WP_317104959.1	K00688
WP_317104960.1	K01621
WP_317104961.1	K05595
WP_317104962.1	
WP_317104963.1	
WP_317104964.1	
WP_317104965.1	
WP_317104966.1	K01953
WP_317104967.1	
WP_317104968.1	K00558
WP_317104969.1	
WP_317104970.1	K06883
WP_317104971.1	
WP_317104972.1	K01424
WP_317104973.1	
WP_317104974.1	
WP_317104975.1	K10026
WP_317104976.1	
WP_317104977.1	
WP_317104978.1	
WP_317104979.1	
WP_317104980.1	
WP_317104981.1	
WP_317104982.1	K13668
WP_317104983.1	K02005
WP_317104984.1	
WP_317104985.1	
WP_317104986.1	
WP_317104987.1	
WP_317104988.1	K07027
WP_317104989.1	
WP_317104990.1	
WP_317104991.1	
WP_317104992.1	
WP_317104993.1	K00986
WP_317104994.1	K00986
WP_317104995.1	K09880
WP_317104996.1	
WP_317104997.1	
WP_317104999.1	K00033
WP_317105000.1	K05366
WP_317105001.1	K00950
WP_317105002.1	K01515
WP_317105003.1	
WP_317105004.1	K08884,ko:K12132
WP_317105005.1	
WP_317105006.1	
WP_317105007.1	K04755
WP_317105008.1	K07013
WP_317105009.1	
WP_317105010.1	
WP_317105011.1	K07013
WP_317105012.1	K09131
WP_317105013.1	
WP_317105014.1	
WP_317105015.1	
WP_317105016.1	
WP_317105017.1	
WP_317105018.1	
WP_317105019.1	K02639
WP_317105020.1	K01092
WP_317105021.1	
WP_317105022.1	K02502
WP_317105023.1	K00845
WP_317105024.1	K01470
WP_317105025.1	
WP_317105028.1	
WP_317105029.1	
WP_317105030.1	K17758,ko:K17759
WP_317105031.1	
WP_317105032.1	
WP_317105033.1	
WP_317105034.1	
WP_317105035.1	K01679
WP_317105036.1	
WP_317105037.1	
WP_317105038.1	
WP_317105039.1	
WP_317105040.1	
WP_317105041.1	
WP_317105042.1	
WP_317105043.1	
WP_317105044.1	
WP_317105045.1	K04773
WP_317105046.1	K01823
WP_317105047.1	
WP_317105048.1	K09835
WP_317105049.1	K00121
WP_317105051.1	K01455
WP_317105053.1	
WP_317105054.1	
WP_317105055.1	K20896
WP_317105056.1	
WP_317105057.1	
WP_317105058.1	K01992
WP_317105059.1	K01990
WP_317105060.1	
WP_317105061.1	K01358
WP_317105062.1	
WP_317105063.1	
WP_317105064.1	
WP_317105065.1	K02040
WP_317105067.1	
WP_317105068.1	K02040
WP_317105069.1	
WP_317105070.1	K03404
WP_317105071.1	
WP_317105072.1	
WP_317105073.1	
WP_317105074.1	
WP_317105076.1	
WP_317105077.1	K15577
WP_317105078.1	K15576
WP_317105079.1	K15576
WP_317105080.1	K15578
WP_317105081.1	
WP_317105082.1	
WP_317105083.1	
WP_317105084.1	
WP_317105085.1	
WP_317105086.1	
WP_317105087.1	
WP_317105088.1	K06223
WP_317105089.1	K02834
WP_317105090.1	
WP_317105091.1	K01436
WP_317105092.1	K06213
WP_317105094.1	
WP_317105095.1	K02026
WP_317105096.1	K14331
WP_317105097.1	K14330
WP_317105098.1	K01962
WP_317105099.1	
WP_317105100.1	K01924
WP_317105101.1	K00075
WP_317105102.1	K01104
WP_317105103.1	K03664
WP_317105104.1	
WP_317105106.1	
WP_317105107.1	K06942
WP_317105108.1	
WP_317105109.1	
WP_317105110.1	
WP_317105111.1	
WP_317105113.1	K00453
WP_317105114.1	
WP_317105116.1	
WP_317105117.1	
WP_317105118.1	
WP_317105119.1	K07492
WP_317105120.1	
WP_317105121.1	K03100
WP_317105122.1	
WP_317105123.1	
WP_317105124.1	
WP_317105125.1	
WP_317105126.1	
WP_317105127.1	
WP_317105128.1	
WP_317105129.1	
WP_317105130.1	
WP_317105131.1	K02069
WP_317105132.1	
WP_317105133.1	K05343
WP_317105136.1	
WP_317105137.1	K00705
WP_317105138.1	K01214
WP_317105139.1	K01236
WP_317105141.1	K06044
WP_317105142.1	
WP_317105143.1	
WP_317105144.1	
WP_317105146.1	K03798
WP_317105147.1	
WP_317105148.1	K00457
WP_317105149.1	K01091
WP_317105150.1	
WP_317105151.1	
WP_317105152.1	K00162
WP_317105154.1	K03072
WP_317105155.1	K03074
WP_317105156.1	
WP_317105157.1	
WP_317105158.1	K07566
WP_317105159.1	K08591
WP_317105160.1	
WP_317105161.1	
WP_317105162.1	
WP_317105163.1	K07263
WP_317105164.1	
WP_317105165.1	K08972
WP_317105166.1	
WP_317105167.1	
WP_317105168.1	K02536
WP_317105169.1	K07007
WP_317105170.1	K03702
WP_317105171.1	
WP_317105172.1	
WP_317105173.1	
WP_317105175.1	
WP_317105176.1	
WP_317105177.1	K06197
WP_317105178.1	K00684
WP_317105179.1	K10773
WP_317105180.1	
WP_317105181.1	K01875
WP_317105182.1	
WP_317105183.1	
WP_317105185.1	
WP_317105186.1	
WP_317105187.1	K02860
WP_317105188.1	
WP_317105189.1	K00835
WP_317105190.1	K00688
WP_317105191.1	K05979
WP_317105192.1	
WP_317105193.1	
WP_317105194.1	
WP_317105195.1	
WP_317105196.1	
WP_317105197.1	
WP_317105198.1	
WP_317105199.1	
WP_317105200.1	
WP_317105201.1	
WP_317105202.1	
WP_317105203.1	
WP_317105204.1	K13007
WP_317105205.1	
WP_317105206.1	K01784
WP_317105207.1	K01953
WP_317105208.1	
WP_317105209.1	
WP_317105210.1	
WP_317105211.1	K03980
WP_317105212.1	
WP_317105213.1	
WP_317105215.1	
WP_317105216.1	K02705
WP_317105217.1	
WP_317105218.1	K01802,ko:K03768
WP_317105219.1	K09458
WP_317105220.1	K21430
WP_317105221.1	K01426
WP_317105222.1	
WP_317105223.1	
WP_317105224.1	
WP_317105225.1	K00605,ko:K06980
WP_317105226.1	
WP_317105227.1	K07089
WP_317105228.1	
WP_317105229.1	K00389
WP_317105230.1	
WP_317105231.1	
WP_317105232.1	
WP_317105233.1	
WP_317105234.1	
WP_317105235.1	K00215
WP_317105236.1	
WP_317105237.1	K06042
WP_317105238.1	
WP_317105240.1	K01187
WP_317105242.1	
WP_317105243.1	
WP_317105244.1	K01696
WP_317105245.1	
WP_317105246.1	
WP_317105247.1	
WP_317105248.1	
WP_317105249.1	K07058
WP_317105250.1	
WP_317105251.1	
WP_317105252.1	
WP_317105253.1	
WP_317105254.1	
WP_317105255.1	
WP_317105256.1	K03572
WP_317105258.1	K03824
WP_317105259.1	
WP_317105260.1	K09516
WP_317105261.1	
WP_317105262.1	
WP_317105263.1	
WP_317105264.1	
WP_317105265.1	K06048
WP_317105267.1	
WP_317105268.1	
WP_317105270.1	
WP_317105271.1	K00588
WP_317105272.1	
WP_317105273.1	K01053
WP_317105274.1	K01488
WP_317105275.1	K02485
WP_317105276.1	
WP_317105277.1	K00082
WP_317105278.1	K09919
WP_317105279.1	K01854
WP_317105280.1	K12990
WP_317105281.1	
WP_317105282.1	K09690
WP_317105284.1	K09691
WP_317105285.1	
WP_317105286.1	
WP_317105287.1	K06872
WP_317105288.1	
WP_317105289.1	
WP_317105290.1	K03296
WP_317105291.1	K02005
WP_317105292.1	K04043
WP_317105293.1	K05516
WP_317105294.1	K07451
WP_317105296.1	
WP_317105297.1	
WP_317105298.1	K04488
WP_317105299.1	
WP_317105300.1	K00001,ko:K00005
WP_317105301.1	K10206
WP_317105303.1	
WP_317105304.1	
WP_317105305.1	K05710
WP_317105306.1	
WP_317105307.1	
WP_317105308.1	K09792
WP_317105309.1	
WP_317105310.1	K00505
WP_317105311.1	
WP_317105313.1	
WP_317105314.1	K04035
WP_317105315.1	
WP_317105316.1	
WP_317105317.1	K03636
WP_317105318.1	K01733
WP_317105320.1	K00342,ko:K05575
WP_317105321.1	
WP_317105322.1	
WP_317105323.1	
WP_317105324.1	K03320
WP_317105325.1	
WP_317105326.1	K09819
WP_317105327.1	K09820
WP_317105328.1	K02077,ko:K09818
WP_317105329.1	
WP_317105330.1	
WP_317105331.1	
WP_317105332.1	
WP_317105333.1	K08906
WP_317105334.1	
